id,price,surface,bedrooms,restrooms,location_name,Terraza,Ascensor,Piscina,Calefacción
8805,525,60,1,1,A Coruña,0,1,0,0
8808,600,52,1,1,A Coruña,0,0,0,0
8809,550,65,2,1,A Coruña,0,1,0,0
8810,400,42,1,1,A Coruña,0,1,0,0
8811,730,70,2,1,A Coruña,0,0,0,1
8812,1100,119,2,2,A Coruña,0,1,0,0
8815,600,90,3,2,A Coruña,1,0,0,0
8818,525,68,2,1,A Coruña,0,1,0,0
8819,700,77,2,2,A Coruña,0,1,0,0
8820,1400,115,3,2,A Coruña,0,1,0,0
8822,350,65,1,1,A Coruña,0,0,0,0
8823,750,79,2,2,A Coruña,0,1,0,0
8824,890,95,3,2,A Coruña,0,1,0,0
8827,400,84,3,1,A Coruña,0,0,0,0
8828,660,82,3,1,A Coruña,0,1,0,0
8836,700,90,3,2,A Coruña,0,1,0,0
8839,800,87,2,2,A Coruña,0,1,0,0
8842,570,94,2,1,A Coruña,0,0,0,0
8843,650,79,3,1,A Coruña,0,0,0,0
8845,870,100,3,2,A Coruña,0,1,0,0
8847,900,110,4,2,A Coruña,0,1,0,0
8848,600,85,2,1,A Coruña,0,0,0,0
8849,925,150,3,3,A Coruña,0,0,0,1
8850,700,86,3,1,A Coruña,0,1,0,1
8851,875,109,3,2,A Coruña,0,0,0,1
8852,760,100,4,2,A Coruña,0,0,0,1
8853,675,80,3,2,A Coruña,0,1,0,1
8854,650,82,3,1,A Coruña,0,1,0,0
8855,765,80,2,2,A Coruña,0,1,0,0
8857,800,115,4,2,A Coruña,0,1,0,0
8860,900,130,4,2,A Coruña,0,1,0,0
8862,1500,90,3,2,A Coruña,0,1,0,0
8863,480,90,4,2,A Coruña,0,0,0,0
8864,650,80,2,2,A Coruña,0,1,0,1
8868,690,100,4,2,A Coruña,0,1,0,0
8872,600,75,3,1,A Coruña,0,0,0,0
8873,650,80,3,1,A Coruña,0,1,0,0
8875,525,50,1,1,A Coruña,0,1,0,0
8876,400,76,2,1,A Coruña,0,0,0,0
8878,720,100,4,2,A Coruña,0,1,0,0
8880,520,86,3,1,A Coruña,0,0,0,1
8881,550,84,3,2,A Coruña,0,1,0,0
8883,850,80,2,2,A Coruña,0,0,0,1
8886,1600,100,3,2,A Coruña,0,1,0,0
8887,1500,130,4,3,A Coruña,0,1,0,1
8890,850,132,3,2,A Coruña,0,1,0,0
8891,470,72,2,1,A Coruña,1,0,0,0
8893,600,84,2,1,A Coruña,0,0,0,0
8895,1400,100,4,3,A Coruña,0,0,0,1
8896,750,70,1,1,A Coruña,0,1,0,0
8897,1200,120,2,2,A Coruña,0,1,0,0
8899,700,63,2,3,A Coruña,0,1,0,0
8900,500,80,2,1,A Coruña,0,0,0,1
8901,950,95,2,2,A Coruña,0,1,0,0
8903,770,68,1,1,A Coruña,0,1,0,0
8904,1000,105,3,2,A Coruña,0,1,0,0
8905,800,90,2,2,A Coruña,0,0,0,0
8908,580,90,3,2,A Coruña,0,0,0,0
8909,650,42,1,1,A Coruña,0,1,0,0
8910,890,118,3,2,A Coruña,0,1,0,0
8914,550,97,4,1,A Coruña,0,0,0,0
8917,570,70,2,2,A Coruña,0,1,0,0
563992,550,90,3,2,A Coruña,0,0,0,0
563994,600,90,3,2,A Coruña,0,0,0,1
563997,450,90,3,2,A Coruña,0,0,0,0
563998,625,90,3,2,A Coruña,0,0,0,1
563999,450,60,2,1,A Coruña,0,0,0,0
564000,650,113,3,2,A Coruña,0,1,0,0
564001,425,60,2,1,A Coruña,0,0,0,0
564002,450,60,2,1,A Coruña,0,0,0,0
564003,450,60,2,1,A Coruña,0,1,0,1
564004,500,58,2,1,A Coruña,0,1,0,0
564005,400,60,2,1,A Coruña,0,0,0,1
564007,450,75,2,2,A Coruña,0,0,0,0
564009,450,60,2,1,A Coruña,0,0,0,0
564011,880,120,4,2,A Coruña,0,1,0,0
564012,550,90,3,2,A Coruña,0,0,0,1
564013,500,90,3,2,A Coruña,0,0,0,1
564014,650,100,4,2,A Coruña,1,0,0,0
564015,450,60,2,1,A Coruña,0,1,0,0
564016,850,120,4,2,A Coruña,0,1,0,0
564017,450,60,2,1,A Coruña,0,1,0,1
564018,425,60,2,1,A Coruña,0,1,0,1
564019,450,60,2,2,A Coruña,0,0,0,1
564020,550,100,4,1,A Coruña,0,0,0,1
564021,450,60,2,1,A Coruña,0,0,0,0
564022,450,60,2,1,A Coruña,0,0,0,1
564023,750,110,4,2,A Coruña,0,0,0,1
564024,425,60,2,1,A Coruña,0,0,0,1
564025,425,60,2,1,A Coruña,0,0,0,1
564026,425,60,2,1,A Coruña,0,1,0,0
564028,630,80,3,1,A Coruña,0,1,0,0
